SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_300_37,44850,195900,22284,52600,2100,70600,2437,149800,2564,41400,
seq_300_38,44850,191400,21524,107700,2097,80500,2717,18600,2745,30600,
seq_300_39,44850,156900,23647,58500,2078,79600,2840,24400,2230,36100,
seq_300_40,44850,217200,21459,81400,2100,74300,2495,29900,2219,36200,
seq_300_41,44850,152400,21865,58600,2089,52500,2624,18600,2160,27600,
seq_300_42,44850,136700,22707,58900,2101,60400,2720,24500,2799,46300,
seq_300_43,44850,153400,22785,58100,2097,49700,2539,18100,2196,28200,
seq_300_44,44850,172200,22073,52100,2086,53000,2508,17500,2676,27800,
seq_300_45,44850,161100,21711,51600,2090,57000,2414,18400,2383,27600,
seq_300_46,44850,168000,22462,53100,2101,52500,2714,17900,2279,29300,
seq_300_47,44850,136500,21679,64400,2099,54200,2600,17700,2272,30200,
seq_300_48,44850,150300,22674,53400,2116,67100,2667,18300,2191,28300,
seq_300_49,44850,324800,22467,101600,2093,74000,2611,23700,2577,50800,
seq_300_50,44850,149600,22998,75200,2107,70100,2781,18800,2401,30600,
seq_300_51,44850,200000,22684,86600,2099,102800,2763,25200,2513,36200,
seq_300_52,44850,238400,23838,55300,2083,53500,2474,18700,2261,80900,
seq_300_53,44850,161000,22769,53700,2110,52200,2583,17500,2263,29900,
seq_300_54,44850,161200,23051,53500,2084,66100,2585,19400,2271,32400,
seq_300_55,44850,178900,23631,86100,2093,53500,2628,19300,2331,28200,
seq_300_56,44850,203500,23259,77800,2090,77800,2834,20800,2285,43000,
seq_300_57,44850,151300,21866,64000,2096,63100,2618,18100,2168,29600,
seq_300_58,44850,161500,21293,50300,2098,64000,2585,18400,2406,29300,
seq_300_59,44850,149800,23772,58000,2103,110400,2788,20800,2400,32500,
seq_300_60,44850,195900,22236,77900,2102,60800,2722,22300,2217,32000,
seq_300_61,44850,204800,22404,59200,2104,66400,2782,27300,2438,54300,
seq_300_62,44850,182400,21986,71300,2094,79700,2473,22700,2322,38000,
seq_300_63,44850,129800,22866,65900,2100,55500,2385,19000,2389,32700,
seq_300_64,44850,191000,23448,55100,2094,55700,2687,18000,2435,43900,
seq_300_65,44850,161800,22851,61700,2084,64200,2474,18300,2396,28600,
seq_300_66,44850,160600,24298,56500,2091,51500,2509,17900,2073,27900,
seq_300_67,44850,175000,22079,94400,2087,54200,2430,17400,2320,26700,
seq_300_68,44850,181200,23176,54700,2100,59200,2546,17900,2426,27000,
seq_300_69,44850,324500,23648,81100,2086,80000,2756,24700,2478,42300,
seq_300_70,44850,177000,24183,91600,2088,71300,2415,23300,2132,44900,
seq_300_71,44850,160800,22569,63400,2099,130200,2597,25300,2223,37100,
seq_300_72,44850,155700,22786,60900,2105,53400,2549,17800,2807,29900,
seq_300_73,44850,167900,23240,54800,2112,71100,2407,35800,2103,41500,
seq_300_74,44850,202700,23002,67500,2097,64300,2762,22800,2414,36100,
seq_300_75,44850,183700,21611,49700,2101,58100,2420,18700,2232,28900,
seq_300_76,44850,169300,22880,69300,2117,65300,2508,21900,2543,34900,
seq_300_77,44850,149000,22227,54300,2097,77700,2680,17900,2411,29700,
seq_300_78,44850,200300,22175,96100,2104,90700,2548,33700,2672,45000,
seq_300_79,44850,206400,22284,63300,2097,71900,2334,22000,2221,36800,
seq_300_80,44850,182500,22329,69100,2090,56100,2382,19000,2522,42000,
seq_300_81,44850,229900,22968,58600,2082,90900,2963,27500,2381,50600,
seq_300_82,44850,173700,22933,54900,2098,53300,2627,19100,2214,31200,
seq_300_83,44850,200700,22442,71100,2080,82200,2540,22500,2300,37000,
seq_300_84,44850,174600,22290,77400,2090,69600,2917,18000,2135,27800,
seq_300_85,44850,153600,21680,56800,2080,58500,2777,17900,2287,27900,
seq_300_86,44850,142500,23534,55200,2087,52300,2484,18200,2381,28300,
seq_300_87,44850,189500,23857,87300,2116,78800,2958,25800,2515,43900,
seq_300_88,44850,164700,23044,98000,2091,75200,2837,23700,2327,42200,
seq_300_89,44850,171600,22919,78600,2097,84100,2332,21600,2117,35700,
seq_300_90,44850,157300,22284,58300,2087,53900,2511,19200,2863,29200,
seq_300_91,44850,160200,23623,55600,2095,66100,2672,19100,2345,28300,
seq_300_92,44850,274700,21310,77400,2084,56100,2515,18200,2291,30600,
seq_300_93,44850,221700,24443,75500,2105,81500,2595,34300,2178,40900,
seq_300_94,44850,149800,23146,53600,2101,49200,2633,15900,2334,25500,
seq_300_95,44850,166700,22728,65200,2107,62500,2645,21000,2120,38000,
seq_300_96,44850,189500,22184,65100,2105,59300,2759,20200,2457,39700,
seq_300_97,44850,135200,21284,55200,2097,53700,2474,17600,2598,28300,
seq_300_98,44850,150400,23471,55200,2107,51700,2700,26100,2500,31900,
seq_300_99,44850,142900,23532,65400,2093,54100,2630,17500,2482,28900,
seq_350_0,61075,220700,31457,117400,2521,67000,3195,24800,2968,44100,
seq_350_1,61075,224800,32159,84800,2556,65900,2832,21900,2860,36100,
seq_350_2,61075,249400,31294,96500,2533,91300,3265,22600,2809,38000,
seq_350_3,61075,255300,29718,89100,2532,82800,3254,28300,2739,41600,
seq_350_4,61075,319100,29561,100700,2521,85200,2920,42900,3056,45500,
seq_350_5,61075,274800,32917,136500,2532,87400,3205,25500,2809,43000,
seq_350_6,61075,289100,29547,123300,2530,88800,3160,29100,2779,52200,
seq_350_7,61075,237300,31194,80100,2519,65100,3399,22600,2927,40300,
seq_350_8,61075,399600,31369,119500,2508,108000,2919,22400,3351,36300,
seq_350_9,61075,233700,31036,73400,2515,75300,3653,22000,2893,33000,
seq_350_10,61075,195400,28195,65200,2530,122400,3002,23900,2832,38600,
seq_350_11,61075,288400,30113,117100,2530,76300,3263,22100,3024,35100,
seq_350_12,61075,307000,30212,71000,2511,66000,3253,30900,2633,34600,
seq_350_13,61075,210500,30380,78600,2519,60800,3009,20500,3060,37300,
seq_350_14,61075,216100,31812,74100,2512,62300,3088,21300,3304,36600,
seq_350_15,61075,220800,31619,73900,2525,62200,3591,30900,3045,36200,
seq_350_16,61075,273700,32351,120200,2520,87100,3160,28900,2908,47700,
seq_350_17,61075,293300,30472,195000,2531,89300,3452,31900,2872,55600,
seq_350_18,61075,239200,29436,105200,2520,65000,3218,23200,2740,40100,
seq_350_19,61075,266400,28894,99100,2527,84500,2834,28700,2562,45500,
